id_harga;nama_harga;satuan_harga;jumlah_harga;id_jurusan_pdd;id_jenjang_pdd;id_harga_jenis;pilih_harga;tgl_input_harga
1;Institusional Fee;Per siswa/periode;50000;1;5;1;1;NULL
2;Management Fee;Per siswa/periode;75000;1;5;1;1;NULL
3;Alat Tulis Kantor;Per siswa/periode;5000;1;5;1;1;NULL
4;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;5000;1;5;2;1;NULL
5;Orientasi Keselamatan Pasien;Per siswa/periode;10000;1;5;3;1;NULL
6;Log Book (dibayar 1 kali);Per siswa/periode;20000;1;5;3;1;NULL
7;Name Tag (dibayar 1 kali);Per siswa/periode;5000;1;5;3;1;NULL
8;Clinical science session (CSS);Per siswa/kali;37500;1;5;4;1;NULL
9;Case report session (CRS);Per siswa/kali;37500;1;5;4;1;NULL
10;Case base Discusion (CBD);Per siswa/kali;37500;1;5;4;1;NULL
11;Pengayaan - Observasi;Per siswa/kali;37500;1;5;4;1;NULL
12;RPS (Resource Person Session);Per siswa/kali;37500;1;5;4;1;NULL
13;Bed side teaching (BST)- Visite Besar-Role Model - Pembimbingan Kedokteran Umum di IGD;Per siswa/kali;37500;1;5;4;1;NULL
14;Mini Clinical Examination  Evaluation (Mini CeX);Per siswa/kali;150000;1;5;6;1;NULL
15;Ujian;Per siswa/kali;150000;1;5;6;1;NULL
16;Makan Pembimbing Ujian;Per siswa/kali;20000;1;5;6;1;NULL
17;Standar Pasien;Per siswa/kali;100000;1;5;6;1;NULL
18;Institusional Fee;Per siswa/periode;20000;2;3;1;1;NULL
19;Management Fee;Per siswa/periode;20000;2;3;1;1;NULL
20;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;2;3;2;1;NULL
21;Orientasi ;Per periode / Kali;75000;2;3;3;1;NULL
22;Keselamatan Pasien;Per periode / Kali;150000;2;3;3;1;NULL
23;Log Book (dibayar 1 kali);Per siswa/periode;20000;2;3;3;1;NULL
24;Name Tag (dibayar 1 kali);Per siswa/periode;10000;2;3;3;1;NULL
25;RPS (Resource Person Session);Per periode/kali;150000;2;3;4;1;NULL
26;Bed side teaching (BST) D3;Per siswa/kali;50000;2;3;4;1;NULL
27;Bed side teaching (BST) S1/Profesi;Per siswa/kali;75000;2;3;4;1;NULL
28;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;2;3;4;1;NULL
29;Ujian;Per siswa/hari;150000;2;3;6;1;NULL
30;Makan dan Snack Penguji;Per penguji/kali;20000;2;3;6;1;NULL
31;Bahan Habis Pakai Ujian;Per siswa/kali;100000;2;3;6;1;NULL
32;Institusional Fee Ujian;Per siswa/periode ujian;150000;2;3;6;1;NULL
33;Management Fee Ujian;Per siswa/periode ujian;20000;2;3;6;1;NULL
34;Institusional Fee;Per siswa/periode;20000;2;5;1;1;NULL
35;Management Fee;Per siswa/periode;20000;2;5;1;1;NULL
36;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;2;5;2;1;NULL
37;Orientasi ;Per periode / Kali;75000;2;5;3;1;NULL
38;Keselamatan Pasien;Per periode / Kali;150000;2;5;3;1;NULL
39;Log Book (dibayar 1 kali);Per siswa/periode;20000;2;5;3;1;NULL
40;Name Tag (dibayar 1 kali);Per siswa/periode;10000;2;5;3;1;NULL
41;RPS (Resource Person Session);Per periode/kali;150000;2;5;4;1;NULL
42;Bed side teaching (BST) D3;Per siswa/kali;50000;2;5;4;1;NULL
43;Bed side teaching (BST) S1/Profesi;Per siswa/kali;75000;2;5;4;1;NULL
44;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;Per periode/kali;150000;2;5;4;1;NULL
45;Ujian;Per siswa/hari;150000;2;5;6;1;NULL
46;Makan dan Snack Penguji;Per penguji/kali;20000;2;5;6;1;NULL
47;Bahan Habis Pakai Ujian;Per siswa/kali;100000;2;5;6;1;NULL
48;Institusional Fee Ujian;Per siswa/periode ujian;150000;2;5;6;1;NULL
49;Management Fee Ujian;Per siswa/periode ujian;20000;2;5;6;1;NULL
50;Institusional Fee;Per siswa/periode;20000;2;9;1;1;NULL
51;Management Fee;Per siswa/periode;20000;2;9;1;1;NULL
52;Untuk Keselamatan Kerja (Handrub, tisue, sabun);Per siswa/ periode;20000;2;9;2;1;NULL
53;Orientasi ;Per periode / Kali;75000;2;9;3;1;NULL
54;Keselamatan Pasien;Per periode / Kali;150000;2;9;3;1;NULL
55;Log Book (dibayar 1 kali);Per siswa/periode;20000;2;9;3;1;NULL
56;Name Tag (dibayar 1 kali);Per siswa/periode;10000;2;9;3;1;NULL
57;RPS (Resource Person Session);Per periode/kali;150000;2;9;4;1;NULL
58;Bed side teaching (BST) D3;Per siswa/kali;50000;2;9;4;1;NULL
59;Bed side teaching (BST) S1/Profesi;Per siswa/kali;75000;2;9;4;1;NULL
